Date,High,Low,Open,Close,Volume,Adj Close
2015-12-31,243.4499969482422,238.3699951171875,238.50999450683594,240.00999450683594,2715000,240.00999450683594
2016-01-04,231.3800048828125,219.0,230.72000122070312,223.41000366210938,6827100,223.41000366210938
2016-01-05,226.88999938964844,220.0,226.36000061035156,223.42999267578125,3186800,223.42999267578125
2016-01-06,220.0500030517578,215.97999572753906,220.0,219.0399932861328,3779100,219.0399932861328
2016-01-07,218.44000244140625,213.6699981689453,214.19000244140625,215.64999389648438,3554300,215.64999389648438
2016-01-08,220.44000244140625,210.77000427246094,217.86000061035156,211.0,3628100,211.0
2016-01-11,214.4499969482422,203.0,214.00999450683594,207.85000610351562,4089700,207.85000610351562
2016-01-12,213.74000549316406,205.30999755859375,211.60000610351562,209.97000122070312,3091900,209.97000122070312
2016-01-13,212.64999389648438,200.0,212.00999450683594,200.30999755859375,4126400,200.30999755859375
2016-01-14,210.0,193.3800048828125,202.2100067138672,206.17999267578125,6490700,206.17999267578125
2016-01-15,205.07000732421875,197.25,198.97000122070312,204.99000549316406,5578600,204.99000549316406
2016-01-19,210.47000122070312,200.77999877929688,208.7100067138672,204.72000122070312,4038700,204.72000122070312
2016-01-20,201.27999877929688,191.25,199.39999389648438,198.6999969482422,5838600,198.6999969482422
2016-01-21,203.22999572753906,195.02000427246094,201.5500030517578,199.97000122070312,3166200,199.97000122070312
2016-01-22,205.5,199.02999877929688,204.8000030517578,202.5500030517578,3124100,202.5500030517578
2016-01-25,203.57000732421875,195.8800048828125,200.05999755859375,196.3800048828125,2698700,196.3800048828125
2016-01-26,197.82000732421875,188.8800048828125,196.6999969482422,193.55999755859375,4946800,193.55999755859375
2016-01-27,193.25999450683594,185.77000427246094,192.3800048828125,188.07000732421875,3617200,188.07000732421875
2016-01-28,191.27999877929688,182.41000366210938,190.7899932861328,189.6999969482422,4592800,189.6999969482422
2016-01-29,193.74000549316406,188.0800018310547,189.9499969482422,191.1999969482422,2852300,191.1999969482422
2016-02-01,199.52000427246094,182.75,188.75999450683594,196.94000244140625,5297600,196.94000244140625
2016-02-02,193.1199951171875,180.22999572753906,192.4199981689453,182.77999877929688,5773600,182.77999877929688
2016-02-03,183.94000244140625,170.17999267578125,183.58999633789062,173.47999572753906,7931400,173.47999572753906
2016-02-04,175.97999572753906,166.99000549316406,170.6999969482422,175.3300018310547,4363900,175.3300018310547
2016-02-05,173.0,157.74000549316406,171.3000030517578,162.60000610351562,9437600,162.60000610351562
2016-02-08,157.14999389648438,146.0,157.10000610351562,147.99000549316406,9313000,147.99000549316406
2016-02-09,159.7899932861328,141.0500030517578,142.32000732421875,148.25,8575100,148.25
2016-02-10,154.97000122070312,141.74000549316406,150.5,143.6699981689453,10406500,143.6699981689453
2016-02-11,163.25999450683594,147.0,152.0,150.47000122070312,14252400,150.47000122070312
2016-02-12,157.00999450683594,143.6999969482422,155.0,151.0399932861328,7235800,151.0399932861328
2016-02-16,162.9499969482422,154.11000061035156,158.6999969482422,155.1699981689453,5593800,155.1699981689453
2016-02-17,169.33999633789062,156.67999267578125,159.0,168.67999267578125,5825200,168.67999267578125
2016-02-18,172.9499969482422,164.77000427246094,172.4199981689453,166.77000427246094,3887600,166.77000427246094
2016-02-19,167.49000549316406,162.5,163.66000366210938,166.5800018310547,2959400,166.5800018310547
2016-02-22,178.91000366210938,169.85000610351562,170.1199951171875,177.74000549316406,5060100,177.74000549316406
2016-02-23,181.72999572753906,173.67999267578125,176.16000366210938,177.2100067138672,5984400,177.2100067138672
2016-02-24,179.5,167.83999633789062,172.75,179.0,5395600,179.0
2016-02-25,188.52000427246094,175.1999969482422,178.64999389648438,187.42999267578125,5720500,187.42999267578125
2016-02-26,192.0,185.0,188.6999969482422,190.33999633789062,6065100,190.33999633789062
2016-02-29,196.35000610351562,189.22000122070312,192.39999389648438,191.92999267578125,4499000,191.92999267578125
2016-03-01,195.9499969482422,182.6999969482422,194.25,186.35000610351562,6712200,186.35000610351562
2016-03-02,188.52000427246094,181.5,183.72999572753906,188.33999633789062,4862400,188.33999633789062
2016-03-03,197.4199981689453,184.22000122070312,188.27999877929688,195.74000549316406,4820500,195.74000549316406
2016-03-04,204.02999877929688,197.5,198.0,201.0399932861328,6489100,201.0399932861328
2016-03-07,209.6999969482422,197.39999389648438,197.67999267578125,205.2899932861328,5329400,205.2899932861328
